0.05,-2.71,62.65,18.49,3008.00,0.00,-8.13,0.00,-8.13,0.00,0.00,-8.13,0.00,-8.13,0.00,0.00,-8.13,0.00,-8.13,0.00,0.00,-8.13,0.16,8.13,0.00
00.03,-2.25,62.85,18.64,3008.00,0.00,-7.74,0.00,-7.74,0.00,0.00,-7.74,0.00,-7.74,0.00,0.00,-7.74,0.00,-7.74,0.00,0.00,-7.74,0.18,7.74,0.00
00.02,-2.18,63.01,18.49,3008.00,0.00,-7.69,0.00,-7.69,0.00,0.00,-7.69,0.00,-7.69,0.00,0.00,-7.69,0.00,-7.69,0.00,0.00,-7.69,0.23,7.69,0.00
00.05,-1.98,62.94,18.94,3008.00,0.00,-7.42,0.00,-7.42,0.00,0.00,-7.42,0.00,-7.42,0.00,0.00,-7.42,0.00,-7.42,0.00,0.00,-7.42,0.13,7.42,0.00
00.03,-1.78,62.69,19.49,3008.00,0.00,-7.22,0.00,-7.22,0.00,0.00,-7.22,0.00,-7.22,0.00,0.00,-7.22,0.00,-7.22,0.00,0.00,-7.22,0.12,7.22,0.00
00.02,-1.47,62.71,19.48,3008.00,0.00,-7.07,0.00,-7.07,0.00,0.00,-7.07,0.00,-7.07,0.00,0.00,-7.07,0.00,-7.07,0.00,0.00,-7.07,0.11,7.07,0.00
00.01,-1.33,62.72,19.81,3008.00,0.00,-6.87,0.00,-6.87,0.00,0.00,-6.87,0.00,-6.87,0.00,0.00,-6.87,0.00,-6.87,0.00,0.00,-6.87,0.19,6.87,0.00
00.05,-1.34,62.81,19.70,3008.00,0.00,-6.85,0.00,-6.85,0.00,0.00,-6.85,0.00,-6.85,0.00,0.00,-6.85,0.00,-6.85,0.00,0.00,-6.85,0.19,6.85,0.00
00.07,-1.50,62.78,19.86,3008.00,0.00,-6.87,0.00,-6.87,0.00,0.00,-6.87,0.00,-6.87,0.00,0.00,-6.87,0.00,-6.87,0.00,0.00,-6.87,0.11,6.87,0.00
00.04,-1.62,62.68,19.67,3008.00,0.00,-6.98,0.00,-6.98,0.00,0.00,-6.98,0.00,-6.98,0.00,0.00,-6.98,0.00,-6.98,0.00,0.00,-6.98,0.03,6.98,0.00
00.02,-1.54,62.58,19.67,3008.00,0.00,-7.00,0.00,-7.00,0.00,0.00,-7.00,0.00,-7.00,0.00,0.00,-7.00,0.00,-7.00,0.00,0.00,-7.00,-0.03,7.00,0.00
00.06,-1.40,62.64,19.57,3008.00,0.00,-6.94,0.00,-6.94,0.00,0.00,-6.94,0.00,-6.94,0.00,0.00,-6.94,0.00,-6.94,0.00,0.00,-6.94,-0.06,6.94,0.00
00.03,-1.51,62.72,19.38,3008.00,0.00,-6.97,0.00,-6.97,0.00,0.00,-6.97,0.00,-6.97,0.00,0.00,-6.97,0.00,-6.97,0.00,0.00,-6.97,0.01,6.97,0.00
00.02,-1.48,62.64,19.67,3008.00,0.00,-6.92,0.00,-6.92,0.00,0.00,-6.92,0.00,-6.92,0.00,0.00,-6.92,0.00,-6.92,0.00,0.00,-6.92,0.09,6.92,0.00
00.01,-1.57,62.60,19.58,3008.00,0.00,-7.08,0.00,-7.08,0.00,0.00,-7.08,0.00,-7.08,0.00,0.00,-7.08,0.00,-7.08,0.00,0.00,-7.08,0.13,7.08,0.00
00.01,-1.50,62.61,19.70,3008.00,0.00,-6.93,0.00,-6.93,0.00,0.00,-6.93,0.00,-6.93,0.00,0.00,-6.93,0.00,-6.93,0.00,0.00,-6.93,0.12,6.93,0.00
